Generation,Best,Average,Min
1,7.666666666666667,2.143,0.0
2,8.333333333333334,2.299666666666667,0.0
3,13.666666666666666,2.436,0.0
4,32.0,2.516,0.6666666666666666
5,24.333333333333332,2.669,0.0
6,29.0,3.473666666666667,0.0
7,43.333333333333336,4.971,0.6666666666666666
8,42.0,7.696,1.0
9,47.666666666666664,11.972333333333333,1.0
10,54.666666666666664,17.453,1.3333333333333333
11,57.666666666666664,22.154666666666664,1.6666666666666667
12,58.333333333333336,26.323,1.6666666666666667
13,66.33333333333333,27.534333333333336,1.6666666666666667
14,127.66666666666667,28.6,3.0
15,117.0,29.831666666666663,1.3333333333333333
16,133.66666666666666,30.91,1.3333333333333333
17,158.33333333333334,33.345333333333336,1.6666666666666667
18,136.0,35.87166666666666,1.6666666666666667
19,171.0,39.592,1.3333333333333333
20,141.33333333333334,43.098666666666674,1.6666666666666667
21,159.66666666666666,45.06,1.6666666666666667
22,139.66666666666666,47.57233333333333,1.0
23,154.66666666666666,49.80466666666666,2.0
24,155.33333333333334,51.720666666666666,1.6666666666666667
25,144.66666666666666,51.955,2.6666666666666665
26,169.0,52.53266666666667,2.0
27,153.0,56.67333333333333,2.0
28,151.33333333333334,54.570666666666675,2.0
29,126.0,52.953,4.333333333333333
30,166.33333333333334,56.565,2.0
